field_component,derivative_x,region_name,s_start,s_end,idx_start,idx_end,param_index,param_name,param_symbol,param_value,to_fit
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,0,a_1_0,a_1_0,30187.229889182443,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,1,a_1_1,a_1_1,-245439.84095877383,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,2,a_1_2,a_1_2,726475.4577209466,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,3,a_1_3,a_1_3,-915400.6725457622,True
Bx,0,Poly_115,0.41200000000000003,0.43,1512,1530,4,a_1_4,a_1_4,403876.8415986817,True
Bx,0,Poly_116,0.43,0.442,1530,1542,0,a_1_0,a_1_0,59379.06156482529,True
Bx,0,Poly_116,0.43,0.442,1530,1542,1,a_1_1,a_1_1,-600579.9647939102,True
Bx,0,Poly_116,0.43,0.442,1530,1542,2,a_1_2,a_1_2,2257379.6033132873,True
Bx,0,Poly_116,0.43,0.442,1530,1542,3,a_1_3,a_1_3,-3742383.45387688,True
Bx,0,Poly_116,0.43,0.442,1530,1542,4,a_1_4,a_1_4,2311538.7689449983,True
Bx,0,Poly_117,0.442,0.454,1542,1554,0,a_1_0,a_1_0,231166.89046414703,True
Bx,0,Poly_117,0.442,0.454,1542,1554,1,a_1_1,a_1_1,-2040317.5887561692,True
Bx,0,Poly_117,0.442,0.454,1542,1554,2,a_1_2,a_1_2,6752323.663613817,True
Bx,0,Poly_117,0.442,0.454,1542,1554,3,a_1_3,a_1_3,-9930620.093857199,True
Bx,0,Poly_117,0.442,0.454,1542,1554,4,a_1_4,a_1_4,5476193.727258617,True
Bx,0,Poly_118,0.454,0.466,1554,1566,0,a_1_0,a_1_0,552963.9154777352,True
Bx,0,Poly_118,0.454,0.466,1554,1566,1,a_1_1,a_1_1,-4856237.338694677,True
Bx,0,Poly_118,0.454,0.466,1554,1566,2,a_1_2,a_1_2,15991506.174670815,True
Bx,0,Poly_118,0.454,0.466,1554,1566,3,a_1_3,a_1_3,-23401842.850164834,True
Bx,0,Poly_118,0.454,0.466,1554,1566,4,a_1_4,a_1_4,12840865.540137274,True
Bx,0,Poly_119,0.466,0.484,1566,1584,0,a_1_0,a_1_0,39169.43600515952,True
Bx,0,Poly_119,0.466,0.484,1566,1584,1,a_1_1,a_1_1,-277220.96297870466,True
Bx,0,Poly_119,0.466,0.484,1566,1584,2,a_1_2,a_1_2,708707.8288174295,True
Bx,0,Poly_119,0.466,0.484,1566,1584,3,a_1_3,a_1_3,-760184.4392966462,True
Bx,0,Poly_119,0.466,0.484,1566,1584,4,a_1_4,a_1_4,276560.1960308651,True
Bx,0,Poly_12,-0.974,-0.962,126,138,0,a_1_0,a_1_0,2329706.9332155236,True
Bx,0,Poly_12,-0.974,-0.962,126,138,1,a_1_1,a_1_1,9358673.750797432,True
Bx,0,Poly_12,-0.974,-0.962,126,138,2,a_1_2,a_1_2,14085154.58766611,True
Bx,0,Poly_12,-0.974,-0.962,126,138,3,a_1_3,a_1_3,9412531.808185605,True
Bx,0,Poly_12,-0.974,-0.962,126,138,4,a_1_4,a_1_4,2356337.4693554323,True
Bx,0,Poly_120,0.484,0.496,1584,1596,0,a_1_0,a_1_0,104092.23488619286,True
Bx,0,Poly_120,0.484,0.496,1584,1596,1,a_1_1,a_1_1,-920059.760934756,True
Bx,0,Poly_120,0.484,0.496,1584,1596,2,a_1_2,a_1_2,3030888.783214013,True
Bx,0,Poly_120,0.484,0.496,1584,1596,3,a_1_3,a_1_3,-4413908.684804904,True
Bx,0,Poly_120,0.484,0.496,1584,1596,4,a_1_4,a_1_4,2399264.6628372273,True
Bx,0,Poly_121,0.496,0.508,1596,1608,0,a_1_0,a_1_0,363502.9508255615,True
Bx,0,Poly_121,0.496,0.508,1596,1608,1,a_1_1,a_1_1,-2866698.064624223,True
Bx,0,Poly_121,0.496,0.508,1596,1608,2,a_1_2,a_1_2,8477125.23881368,True
Bx,0,Poly_121,0.496,0.508,1596,1608,3,a_1_3,a_1_3,-11140192.973726409,True
