point,name,current_norm_mm,previous_norm_mm
QNL.X0220343.S,QNL.X0220343,0.024186773197931048,0.024186773197931
QNL.X0220353.E,QNL.X0220353,0.023194827078361173,0.0231948270783611
QNL.X0220353.S,QNL.X0220353,0.023086792796503993,0.0230867927965039
QNL.X0220370.E,QNL.X0220370,0.025179356465639888,0.0251793564656398
QNL.X0220370.S,QNL.X0220370,0.02507987232651635,0.0250798723265163
XSCI.X0220374.E,XSCI.X0220374,1.0254691608299003,2.974664519002324
MBNH.X0220377.E,MBNH.X0220377,0.07642643524880124,0.0764264352488012
MBNH.X0220377.S,MBNH.X0220377,0.07758221453041753,0.0775822145304175
MBNH.X0220382.E,MBNH.X0220382,0.026191601667333655,39.974493380129914
MBNH.X0220382.S,MBNH.X0220382,0.026191601649971318,39.973499796718066
XCSV.X0220386.E,XCSV.X0220386,0.026076809720641254,0.0260768097206412
XCSV.X0220386.S,XCSV.X0220386,0.026076809537534214,0.0260768095375342
MBXGD.X0220389.E,MBXGD.X0220389,0.026172504716494353,3.9741818024807305
MBXGD.X0220389.S,MBXGD.X0220389,0.025199206286621013,3.97517496470192
MBNH.X0220394.E,MBNH.X0220394,0.025199206394897585,11.974901460971823
MBNH.X0220394.S,MBNH.X0220394,0.026172504716494353,11.973907841638304
MBNH.X0220399.E,MBNH.X0220399,0.0274590605566151,0.0274590605566151
MBNH.X0220399.S,MBNH.X0220399,0.03163858390174025,0.0316385839017402
XFFV.X0220402.E,XFFV.X0220402,0.026172504612244345,99.97336957912684
