# Table
# meta={"__class__": "Table", "column_dtypes": {"name": "|O", "phi_rad_ccs": "<f8", "psi_rad_ccs": "<f8", "theta_gon_ccs": "<f8", "theta_rad": "<f8", "x_ccs": "<f8", "y_ccs": "<f8", "z_ccs": "<f8"}, "xtrack_version": "0.112.0"}
name,x_ccs,y_ccs,z_ccs,theta_gon_ccs,phi_rad_ccs,psi_rad_ccs,theta_rad
mqnfb.x0610184.u,710.5073158500401,4785.8015268984855,2442.6375408232725,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610184.d,710.8860895932842,4787.765246453392,2442.6558700650885,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xcmv.x0610190.u,711.5489436439614,4791.201755674479,2442.6879462382667,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xcmv.x0610190.d,712.4958780020715,4796.111054561746,2442.733769342807,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610218.u,717.2210615103544,4820.60835782323,2442.962425718001,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610218.d,717.2210804490416,4820.608456009208,2442.962426634463,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xwcm.x0610219.u,717.2229743177578,4820.618274606983,2442.962518280672,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xwcm.x0610219.d,717.24191300492,4820.716460584728,2442.963434742763,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610219.u,717.2778836926353,4820.902947489193,2442.965175400465,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xvw.x0610219.d,717.2779026313225,4820.903045675171,2442.9651763169268,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610220.u,717.3252432284337,4821.148478886808,2442.9674671759626,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610220.d,717.7040169716778,4823.112198441715,2442.9857964177786,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xcmib.x0610226.u,718.3479323351927,4826.450521685057,2443.016956128866,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xcmib.x0610226.d,718.9539703243832,4829.592472972908,2443.0462829157714,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610256.u,724.1431706068273,4856.49543087513,2443.2973935286523,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610256.d,724.5219443500714,4858.459150430037,2443.3157227704683,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xchv.x0610288.u,730.2035504987327,4887.914943753639,2443.59066139771,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
xchv.x0610288.d,730.3929373703547,4888.896803531093,2443.599826018618,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
mqnfb.x0610292.u,730.9610979852208,4891.842382863453,2443.627319881342,12.130521132121029,0.009164749202744975,-6.634301100563289e-05,0.19054578036443584
