overlap_length,overlap_order,overlapping_pipe_positions,s_start,s_end
6.220073702279024,2,VEBA.23450[SPVEBA_; ref=mba.23450; s=2249.75487098->2256.41495274; length=6.66008175947; span_s=2249.75487098->2256.41535525; span=6.66048426813] | MBA.23450[SPMBA__; ref=mba.23450; s=2249.96887098->2256.18894468; length=6.22007370228; span_s=2249.96886906->2256.18932297; span=6.2204539154],2249.968870979002,2256.188944681281
6.220073702279024,2,VEBA.30030[SPVEBA_; ref=mba.30030; s=2307.09040636->2313.75048812; length=6.66008175947; span_s=2307.09040636->2313.75089063; span=6.66048426813] | MBA.30030[SPMBA__; ref=mba.30030; s=2307.30440636->2313.52448006; length=6.22007370228; span_s=2307.30440444->2313.52485835; span=6.2204539154],2307.304406359002,2313.524480061281
6.220073702279024,2,VEBA.30050[SPVEBA_; ref=mba.30050; s=2313.7504257->2320.41050746; length=6.66008175947; span_s=2313.7504257->2320.41090997; span=6.66048426813] | MBA.30050[SPMBA__; ref=mba.30050; s=2313.9644257->2320.1844994; length=6.22007370228; span_s=2313.96442378->2320.18487769; span=6.2204539154],2313.964425699002,2320.184499401281
6.220073702279024,2,VEBA.30170[SPVEBA_; ref=mba.30170; s=2352.3682224->2359.02830416; length=6.66008175947; span_s=2352.3682224->2359.02870667; span=6.66048426813] | MBA.30170[SPMBA__; ref=mba.30170; s=2352.5822224->2358.8022961; length=6.22007370228; span_s=2352.58222048->2358.80267439; span=6.2204539154],2352.5822223990017,2358.8022961012807
6.220073702279024,2,VEBA.30190[SPVEBA_; ref=mba.30190; s=2359.02824174->2365.6883235; length=6.66008175947; span_s=2359.02824174->2365.68872601; span=6.66048426813] | MBA.30190[SPMBA__; ref=mba.30190; s=2359.24224174->2365.46231544; length=6.22007370228; span_s=2359.24223982->2365.46269373; span=6.2204539154],2359.2422417390017,2365.4623154412807
6.220073702279024,2,VEBA.30250[SPVEBA_; ref=mba.30250; s=2377.74598042->2384.40606218; length=6.66008175947; span_s=2377.74598042->2384.40646469; span=6.66048426813] | MBA.30250[SPMBA__; ref=mba.30250; s=2377.95998042->2384.18005412; length=6.22007370228; span_s=2377.9599785->2384.18043241; span=6.2204539154],2377.9599804190016,2384.1800541212806
6.220073702279024,2,VEBA.30370[SPVEBA_; ref=mba.30370; s=2416.36377712->2423.02385888; length=6.66008175947; span_s=2416.36377712->2423.02426139; span=6.66048426813] | MBA.30370[SPMBA__; ref=mba.30370; s=2416.57777712->2422.79785082; length=6.22007370228; span_s=2416.5777752->2422.79822911; span=6.2204539154],2416.577777119002,2422.797850821281
6.220073702279024,2,VEBA.30590[SPVEBA_; ref=mba.30590; s=2487.01935118->2493.67943294; length=6.66008175947; span_s=2487.01935118->2493.67983545; span=6.66048426813] | MBA.30590[SPMBA__; ref=mba.30590; s=2487.23335118->2493.45342488; length=6.22007370228; span_s=2487.23334926->2493.45380317; span=6.2204539154],2487.2333511790016,2493.4534248812806
6.220073702279024,2,VEBA.30630[SPVEBA_; ref=mba.30630; s=2499.07707052->2505.73715228; length=6.66008175947; span_s=2499.07707052->2505.73755479; span=6.66048426813] | MBA.30630[SPMBA__; ref=mba.30630; s=2499.29107052->2505.51114422; length=6.22007370228; span_s=2499.2910686->2505.51152251; span=6.2204539154],2499.291070519002,2505.511144221281
6.220073702279024,2,VEBA.30650[SPVEBA_; ref=mba.30650; s=2505.73708986->2512.39717162; length=6.66008175947; span_s=2505.73708986->2512.39757413; span=6.66048426813] | MBA.30650[SPMBA__; ref=mba.30650; s=2505.95108986->2512.17116356; length=6.22007370228; span_s=2505.95108794->2512.17154185; span=6.2204539154],2505.951089859002,2512.171163561281
6.220073702279024,2,VEBA.30770[SPVEBA_; ref=mba.30770; s=2544.35488656->2551.01496832; length=6.66008175947; span_s=2544.35488656->2551.01537083; span=6.66048426813] | MBA.30770[SPMBA__; ref=mba.30770; s=2544.56888656->2550.78896026; length=6.22007370228; span_s=2544.56888464->2550.78933855; span=6.2204539154],2544.568886559002,2550.788960261281
6.220073702279024,2,VEBA.30990[SPVEBA_; ref=mba.30990; s=2615.01046062->2621.67054238; length=6.66008175947; span_s=2615.01046062->2621.67094489; span=6.66048426813] | MBA.30990[SPMBA__; ref=mba.30990; s=2615.22446062->2621.44453432; length=6.22007370228; span_s=2615.2244587->2621.44491261; span=6.2204539154],2615.2244606190015,2621.4445343212806
6.220073702279024,2,VEBA.31030[SPVEBA_; ref=mba.31030; s=2627.06817996->2633.72826172; length=6.66008175947; span_s=2627.06817996->2633.72866423; span=6.66048426813] | MBA.31030[SPMBA__; ref=mba.31030; s=2627.28217996->2633.50225366; length=6.22007370228; span_s=2627.28217804->2633.50263195; span=6.2204539154],2627.282179959002,2633.502253661281
6.220073702279024,2,VEBA.31050[SPVEBA_; ref=mba.31050; s=2633.7281993->2640.38828106; length=6.66008175947; span_s=2633.7281993->2640.38868357; span=6.66048426813] | MBA.31050[SPMBA__; ref=mba.31050; s=2633.9421993->2640.162273; length=6.22007370228; span_s=2633.94219738->2640.16265129; span=6.2204539154],2633.942199299002,2640.162273001281
6.220073702279024,2,VEBA.31250[SPVEBA_; ref=mba.31250; s=2697.72375402->2704.38383578; length=6.66008175947; span_s=2697.72375402->2704.38423829; span=6.66048426813] | MBA.31250[SPMBA__; ref=mba.31250; s=2697.93775402->2704.15782772; length=6.22007370228; span_s=2697.9377521->2704.15820601; span=6.2204539154],2697.937754019002,2704.157827721281
6.220073702279024,2,VEBA.31370[SPVEBA_; ref=mba.31370; s=2736.34155072->2743.00163247; length=6.6600817559; span_s=2736.34155072->2743.00203499; span=6.66048427169] | MBA.31370[SPMBA__; ref=mba.31370; s=2736.55565072->2742.77572442; length=6.22007370228; span_s=2736.5556488->2742.77610271; span=6.2204539154],2736.5556507190017,2742.7757244212808
6.220073702279024,2,VEBA.31570[SPVEBA_; ref=mba.31570; s=2800.33716676->2806.99724852; length=6.66008175947; span_s=2800.33716676->2806.99765103; span=6.66048426813] | MBA.31570[SPMBA__; ref=mba.31570; s=2800.55116676->2806.77124046; length=6.22007370228; span_s=2800.55116484->2806.77161875; span=6.2204539154],2800.551166759002,2806.771240461281
6.220073702279024,2,VEBA.32030[SPVEBA_; ref=mba.32030; s=2947.04570544->2953.7057872; length=6.66008175947; span_s=2947.04570544->2953.70618971; span=6.66048426813] | MBA.32030[SPMBA__; ref=mba.32030; s=2947.25970544->2953.47977914; length=6.22007370228; span_s=2947.25970352->2953.48015743; span=6.2204539154],2947.259705439002,2953.479779141281
6.220073702279024,2,VEBA.32390[SPVEBA_; ref=mba.32390; s=3062.97905686->3069.63913862; length=6.66008175947; span_s=3062.97905686->3069.63954113; span=6.66048426813] | MBA.32390[SPMBA__; ref=mba.32390; s=3063.19305686->3069.41313056; length=6.22007370228; span_s=3063.19305494->3069.41350885; span=6.2204539154],3063.193056859002,3069.413130561281
